id,name,plnt_typ,gro_trig,nfix_co,days_mat,bm_e,harv_idx,lai_pot,frac_hu1,lai_max1,frac_hu2,lai_max2,hu_lai_decl,dlai_rate,can_ht_max,rt_dp_max,tmp_opt,tmp_base,frac_n_yld,frac_p_yld,frac_n_em,frac_n_50,frac_n_mat,frac_p_em,frac_p_50,frac_p_mat,harv_idx_ws,usle_c_min,stcon_max,vpd,frac_stcon,ru_vpd,co2_hi,bm_e_hi,plnt_decomp,lai_min,bm_tree_acc,yrs_mat,bm_tree_max,ext_co,leaf_tov_mn,leaf_tov_mx,bm_dieoff,rt_st_beg,rt_st_end,plnt_pop1,frac_lai1,plnt_pop2,frac_lai2,frac_sw_gro,aeration,wnd_dead,wnd_flat,description
66,cucm,warm_annual,temp_gro,0,90,30,0.27,1.5,0.15,0.05,0.5,0.95,0.6,1,0.5,1.2,32,16,0.0219,0.0043,0.0663,0.0075,0.0048,0.0053,0.0025,0.0012,0.25,0.03,0.003,4,0.75,8,660,39,0.05,0,0,0,0,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,cucumber
67,cwgr,perennial,temp_gro,0,0,35,0.9,4,0.35,0.02,0.62,0.95,0.85,1,0.9,1.3,25,6,0.05,0.004,0.03,0.02,0.012,0.002,0.0015,0.0013,0.9,0.003,0.005,4,0.75,8,660,38,0.05,2,0.3,2,30,0.4,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,crested_wheatgrass
68,cwps,warm_annual,temp_gro,0.5,100,35,0.42,4,0.15,0.01,0.5,0.95,0.8,1,1.2,2,28,14,0.0427,0.0048,0.06,0.0231,0.0134,0.0049,0.0019,0.0011,0.05,0.03,0.005,4,0.75,8,660,39,0.05,0,0,0,0,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,cowpeas
69,deil,perennial,temp_gro,0,0,30,0.9,4,0.15,0.01,0.5,0.95,0.8,1,1.5,2,15,0,0.0234,0.0033,0.056,0.021,0.012,0.0099,0.0022,0.0019,0.9,0.003,0.005,4,0.75,8,660,39,0.05,0.75,0.3,30,30,0.65,12,3,0.1,0.4,0.2,22,0.05,40,0.71,0.5,0,0,0,unknown
70,dwht,cold_annual,temp_gro,0,120,30,0.4,4,0.15,0.01,0.5,0.95,0.8,1,1,2,15,0,0.0263,0.0057,0.06,0.0231,0.013,0.0084,0.0032,0.0019,0.2,0.03,0.006,4,0.75,7,660,45,0.05,0,0,0,0,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,durum_wheat
71,dwht110,cold_annual,temp_gro,0,110,30,0.4,4,0.15,0.01,0.5,0.95,0.8,1,1,2,15,0,0.0263,0.0057,0.06,0.0231,0.013,0.0084,0.0032,0.0019,0.2,0.03,0.006,4,0.75,7,660,45,0.05,0,0,0,0,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,durum_wheat
72,dwht120,cold_annual,temp_gro,0,120,30,0.4,4,0.15,0.01,0.5,0.95,0.8,1,1,2,15,0,0.0263,0.0057,0.06,0.0231,0.013,0.0084,0.0032,0.0019,0.2,0.03,0.006,4,0.75,7,660,45,0.05,0,0,0,0,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,durum_wheat
73,egam,perennial,temp_gro,0,0,21,0.9,2.5,0.05,0.18,0.25,0.9,0.4,10,1.7,2,25,12,0.016,0.0022,0.02,0.01,0.007,0.0014,0.001,0.0007,0.9,0.003,0.005,4,0.75,10,660,58,0.05,2,0.3,2,30,0.31,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,eastern_gamagrass
74,eggp,warm_annual,temp_gro,0,90,30,0.59,3,0.15,0.05,0.5,0.95,0.6,0.1,0.5,1.2,26,15,0.0218,0.0041,0.0663,0.0255,0.0075,0.0053,0.002,0.0015,0.25,0.03,0.006,4,0.75,8,660,39,0.05,0,0,0,0,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,eggplant
75,euca,perennial,temp_gro,0,0,15,0.1,2.5,0.1,0.15,0.5,0.75,0.99,1,3.5,2,20,7,0.0019,0.0004,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.05,0.001,0.007,4,0.75,3,660,20,0.05,0.75,0.3,10,500,0.65,12,3,0.1,0.4,0.2,0,0,0,0,0.5,0,0,0,eucalyptus
76,fesc,perennial,temp_gro,0,0,30,0.9,4,0.15,0.01,0.5,0.95,0.8,1,1.5,2,15,0,0.0234,0.0033,0.056,0.021,0.012,0.0099,0.0022,0.0019,0.9,0.003,0.005,4,0.75,8,660,39,0.05,2,0.3,2,30,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,tall_fescue
77,flax,cold_annual,temp_gro,0,100,25,0.54,2.5,0.15,0.02,0.5,0.95,0.9,0.5,1.2,1.5,22.5,5,0.04,0.0033,0.0482,0.0294,0.0263,0.0049,0.0024,0.0023,0.4,0.2,0.005,4,0.75,10,660,33,0.05,0,0,0,0,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,flax
78,fodb,perennial,temp_gro,0,0,15,0.76,5,0.05,0.05,0.4,0.95,0.99,1,6,3.5,30,10,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.01,0.001,0.002,4,0.75,8,660,16,0.05,0.1,45,66,77,83,12,3,0,0.75,0.3,0,0,0,0,0.5,0,0,0,deciduous_broadleaf_forest
79,fodn,perennial,temp_gro,0,0,15,0.76,5,0.05,0.05,0.4,0.95,0.99,1,6,3.5,30,10,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.01,0.001,0.002,4,0.75,8,660,16,0.05,0.1,45,66,77,83,12,3,0,0.75,0.3,0,0,0,0,0.5,0,0,0,deciduous_needleleaf_forest
80,foeb,perennial,temp_gro,0,0,15,0.76,5,0.15,0.7,0.25,0.99,0.99,1,10,3.5,30,0,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.6,0.001,0.002,4,0.75,8,660,16,0.05,0.1,25,55,70,77,12,3,0,0.75,0.3,0,0,0,0,0.5,0,0,0,evergreen_broadleaf_forest
81,foen,perennial,temp_gro,0,0,15,0.76,5,0.15,0.7,0.25,0.99,0.99,1,10,3.5,30,0,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.6,0.001,0.002,4,0.75,8,660,16,0.05,0.1,25,55,70,77,12,3,0,0.75,0.3,0,0,0,0,0.5,0,0,0,evergreen_needleleaf_forest
82,fomi,perennial,temp_gro,0,0,15,0.76,5,0.05,0.05,0.4,0.95,0.99,1,6,3.5,30,10,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.01,0.001,0.002,4,0.75,8,660,16,0.05,0.1,36,60,73,79,12,3,0,0.75,0.3,0,0,0,0,0.5,0,0,0,mixed_forest
83,fpea,cold_annual,temp_gro,0.5,100,25,0.45,4,0.15,0.01,0.5,0.95,0.75,1,1.2,1.2,15,1,0.037,0.0021,0.0515,0.0335,0.0296,0.0033,0.0019,0.0014,0.1,0.01,0.005,4,0.75,10,660,30,0.05,0,0,0,0,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,field_peas
84,frsd,perennial,temp_gro,0,0,15,0.76,5,0.05,0.05,0.4,0.95,0.99,1,6,3.5,30,10,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.01,0.001,0.002,4,0.75,8,660,16,0.05,0.75,0.3,10,100,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,forest_deciduous
85,frsd_suhf,perennial,moisture_gro,0,0,15,0.76,5,0.05,0.05,0.4,0.95,0.99,1,6,3.5,25,12,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.01,0.001,0.002,4,0.75,8,660,16,0.05,2,0.3,30,140,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,forest_deciduous_subtropical_humid_forest
86,frsd_sums,perennial,moisture_gro,0,0,15,0.76,5,0.05,0.05,0.4,0.95,0.99,1,6,3.5,25,10,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.01,0.001,0.002,4,0.75,8,660,16,0.05,1,0.3,10,250,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,forest_deciduous_subtropical_mountain_systems
87,frsd_sust,perennial,moisture_gro,0,0,15,0.76,5,0.05,0.05,0.4,0.95,0.99,1,6,3.5,26,10,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.01,0.001,0.002,4,0.75,8,660,16,0.05,1,0.3,10,180,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,forest_deciduous_subtropical_steppe
88,frsd_tecf,perennial,temp_gro,0,0,15,0.76,5,0.05,0.05,0.4,0.95,0.99,1,6,3.5,20,8,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.01,0.001,0.002,4,0.75,8,660,16,0.05,1,0.3,10,200,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,forest_deciduous_temperate_continental_forest
89,frsd_tems,perennial,temp_gro,0,0,15,0.76,5,0.05,0.05,0.4,0.95,0.99,1,6,3.5,20,0,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.01,0.001,0.002,4,0.75,8,660,16,0.05,1,0.3,10,250,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,forest_deciduous_temperate_mountain_systems
90,frsd_teof,perennial,temp_gro,0,0,15,0.76,5,0.05,0.05,0.4,0.95,0.99,1,6,3.5,20,10,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.01,0.001,0.002,4,0.75,8,660,16,0.05,1,0.3,10,250,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,forest_deciduous_temperate_oceanic_forest
91,frsd_test,perennial,temp_gro,0,0,15,0.76,5,0.05,0.05,0.4,0.95,0.99,1,6,3.5,25,0,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.01,0.001,0.002,4,0.75,8,660,16,0.05,1,0.3,10,180,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,forest_deciduous_temperate_steppe
92,frse,perennial,temp_gro,0,0,15,0.76,5,0.15,0.7,0.25,0.99,0.99,1,10,3.5,30,0,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.6,0.001,0.002,4,0.75,8,660,16,0.05,0.75,0.3,30,100,0.65,12,3,0.1,0.4,0.2,100,0.05,1000,0.95,0.5,0,0,0,forest_evergreen
93,frse_sudrf,perennial,moisture_gro,0,0,15,0.76,4,0.15,0.7,0.25,0.99,0.99,1,10,3.5,15,5,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.6,0.001,0.002,4,0.75,8,660,16,0.05,3,0.3,30,140,0.65,12,3,0.1,0.4,0.2,100,0.05,1000,0.95,0.5,0,0,0,forest_evergreen_subtropical_dry_forest
94,frse_suds,perennial,moisture_gro,0,0,15,0.76,2,0.15,0.7,0.25,0.99,0.99,1,10,3.5,26,5,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.6,0.001,0.002,4,0.75,8,660,16,0.05,1,0.3,30,140,0.65,12,3,0.1,0.4,0.2,100,0.05,1000,0.95,0.5,0,0,0,forest_evergreen_subtropical_desert
95,frse_suhf,perennial,moisture_gro,0,0,15,0.76,5,0.15,0.7,0.25,0.99,0.99,1,10,3.5,25,12,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.6,0.001,0.002,4,0.75,8,660,16,0.05,4,0.3,30,140,0.65,12,3,0.1,0.4,0.2,100,0.05,1000,0.95,0.5,0,0,0,forest_evergreen_subtropical_humid_forest
96,frse_sums,perennial,moisture_gro,0,0,15,0.76,5,0.15,0.7,0.25,0.99,0.99,1,10,3.5,25,10,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.6,0.001,0.002,4,0.75,8,660,16,0.05,4,0.3,30,250,0.65,12,3,0.1,0.4,0.2,100,0.05,1000,0.95,0.5,0,0,0,forest_evergreen_subtropical_mountain_systems
97,frse_sust,perennial,moisture_gro,0,0,15,0.76,5,0.15,0.7,0.25,0.99,0.99,1,10,3.5,26,10,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.6,0.001,0.002,4,0.75,8,660,16,0.05,3,0.3,30,180,0.65,12,3,0.1,0.4,0.2,100,0.05,1000,0.95,0.5,0,0,0,forest_evergreen_subtropical_steppe
98,frse_tecf,perennial,temp_gro,0,0,15,0.76,5,0.15,0.7,0.25,0.99,0.99,1,10,3.5,20,8,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.6,0.001,0.002,4,0.75,8,660,16,0.05,4,0.3,30,200,0.65,12,3,0.1,0.4,0.2,100,0.05,1000,0.95,0.5,0,0,0,forest_evergreen_temperate_continental_forest
99,frse_teds,perennial,temp_gro,0,0,15,0.76,2,0.15,0.7,0.25,0.99,0.99,1,10,3.5,26,5,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.6,0.001,0.002,4,0.75,8,660,16,0.05,1,0.3,30,140,0.65,12,3,0.1,0.4,0.2,100,0.05,1000,0.95,0.5,0,0,0,forest_evergreen_temperate_desert
100,frse_tems,perennial,temp_gro,0,0,15,0.76,5,0.15,0.7,0.25,0.99,0.99,1,10,3.5,20,0,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.6,0.001,0.002,4,0.75,8,660,16,0.05,4,0.3,30,250,0.65,12,3,0.1,0.4,0.2,100,0.05,1000,0.95,0.5,0,0,0,forest_evergreen_temperate_mountain_systems
101,frse_teof,perennial,temp_gro,0,0,15,0.76,5,0.15,0.7,0.25,0.99,0.99,1,10,3.5,20,10,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.6,0.001,0.002,4,0.75,8,660,16,0.05,4,0.3,30,350,0.65,12,3,0.1,0.4,0.2,100,0.05,1000,0.95,0.5,0,0,0,forest_evergreen_temperate_oceanic_forest
102,frse_test,perennial,temp_gro,0,0,15,0.76,5,0.15,0.7,0.25,0.99,0.99,1,10,3.5,25,0,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.6,0.001,0.002,4,0.75,8,660,16,0.05,3,0.3,30,180,0.65,12,3,0.1,0.4,0.2,100,0.05,1000,0.95,0.5,0,0,0,forest_evergreen_temperate_steppe
103,frst,perennial,temp_gro,0,0,15,0.76,5,0.05,0.05,0.4,0.95,0.99,1,6,3.5,30,10,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.01,0.005,0.002,4,0.75,8,660,16,0.05,0.75,0.3,50,100,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,forest_mixed
104,frst_suhf,perennial,moisture_gro,0,0,15,0.76,5,0.05,0.05,0.4,0.95,0.99,1,6,3.5,25,12,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.01,0.005,0.002,4,0.75,8,660,16,0.05,3,0.3,50,140,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,forest_mixed_subtropical_humid_forest
105,frst_sums,perennial,moisture_gro,0,0,15,0.76,5,0.05,0.05,0.4,0.95,0.99,1,6,3.5,25,10,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.01,0.005,0.002,4,0.75,8,660,16,0.05,3,0.3,50,250,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,forest_mixed_subtropical_mountain_systems
106,frst_sust,perennial,moisture_gro,0,0,15,0.76,5,0.05,0.05,0.4,0.95,0.99,1,6,3.5,26,10,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.01,0.005,0.002,4,0.75,8,660,16,0.05,2,0.3,50,180,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,forest_mixed_subtropical_steppe
107,frst_tecf,perennial,temp_gro,0,0,15,0.76,5,0.05,0.05,0.4,0.95,0.99,1,6,3.5,20,8,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.01,0.005,0.002,4,0.75,8,660,16,0.05,3,0.3,50,200,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,forest_mixed_temperate_continental_forest
108,frst_tems,perennial,temp_gro,0,0,15,0.76,5,0.05,0.05,0.4,0.95,0.99,1,6,3.5,20,0,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.01,0.005,0.002,4,0.75,8,660,16,0.05,3,0.3,50,250,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,forest_mixed_temperate_mountain_systems
109,frst_teof,perennial,temp_gro,0,0,15,0.76,5,0.05,0.05,0.4,0.95,0.99,1,6,3.5,20,10,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.01,0.005,0.002,4,0.75,8,660,16,0.05,3,0.3,50,250,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,forest_mixed_temperate_oceanic_forest
110,frst_test,perennial,temp_gro,0,0,15,0.76,5,0.05,0.05,0.4,0.95,0.99,1,6,3.5,25,0,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.01,0.005,0.002,4,0.75,8,660,16,0.05,2,0.3,50,180,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,forest_mixed_temperate_steppe
111,grap,perennial,temp_gro,0,0,30,0.02,2,0.05,0.01,0.5,0.95,0.9,1,2,2,30,10,0.02,0.0025,0.01,0.004,0.003,0.0014,0.0008,0.0006,0.01,0.1,0.005,1.1,0.75,8,660,40,0.05,0.01,0.3,2,10,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,grape
112,grar,perennial,temp_gro,0,0,16.1,0.05,2,0.05,0.05,0.4,0.95,0.99,1,6,3.5,30,10,0.0015,0.0003,0.02,0.01,0.008,0.0007,0.0004,0.0003,0.01,0.001,0.0036,4,0.75,8,660,18,0.05,0.75,0.3,10,50,0.61,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,grape_red
113,gras,perennial,temp_gro,0,0,34,0.9,2.5,0.05,0.1,0.25,0.7,0.35,1,1,2,25,12,0.016,0.0022,0.02,0.012,0.005,0.0014,0.001,0.0007,0.9,0.003,0.005,4,0.75,10,660,39,0.05,0.15,49,69,79,84,12,3,0,0,0,0,0,0,0,0.5,0,0,0,grassland
114,grbn,warm_annual,temp_gro,0.5,90,25,0.1,1.5,0.1,0.05,0.8,0.95,0.9,1,0.6,1.2,19,10,0.0299,0.0039,0.004,0.003,0.0015,0.004,0.0035,0.0015,0.1,0.2,0.008,4,0.75,5,660,34,0.05,0,0,0,0,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,green_beans
115,grsg,warm_annual,temp_gro,0,110,33.5,0.45,3,0.15,0.05,0.5,0.95,0.64,0.5,1,2,30,11,0.0199,0.0032,0.044,0.0164,0.0128,0.006,0.0022,0.0018,0.25,0.2,0.005,4,0.75,8.5,660,36,0.05,0,0,0,0,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,grain_sorghum
116,grsg100,warm_annual,temp_gro,0,100,33.5,0.45,3,0.15,0.05,0.5,0.95,0.64,0.5,1,2,30,11,0.0199,0.0032,0.044,0.0164,0.0128,0.006,0.0022,0.0018,0.25,0.2,0.005,4,0.75,8.5,660,36,0.05,0,0,0,0,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,grain_sorghum
117,grsg105,warm_annual,temp_gro,0,105,33.5,0.45,3,0.15,0.05,0.5,0.95,0.64,0.5,1,2,30,11,0.0199,0.0032,0.044,0.0164,0.0128,0.006,0.0022,0.0018,0.25,0.2,0.005,4,0.75,8.5,660,36,0.05,0,0,0,0,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,grain_sorghum
118,grsg110,warm_annual,temp_gro,0,110,33.5,0.45,3,0.15,0.05,0.5,0.95,0.64,0.5,1,2,30,11,0.0199,0.0032,0.044,0.0164,0.0128,0.006,0.0022,0.0018,0.25,0.2,0.005,4,0.75,8.5,660,36,0.05,0,0,0,0,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,grain_sorghum
119,grsg95,warm_annual,temp_gro,0,95,33.5,0.45,3,0.15,0.05,0.5,0.95,0.64,0.5,1,2,30,11,0.0199,0.0032,0.044,0.0164,0.0128,0.006,0.0022,0.0018,0.25,0.2,0.005,4,0.75,8.5,660,36,0.05,0,0,0,0,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,grain_sorghum
120,hay,perennial,temp_gro,0,0,35,0.9,4,0.05,0.05,0.49,0.95,0.99,0.1,0.5,2,25,12,0.0234,0.0033,0.06,0.0231,0.0134,0.0084,0.0032,0.0019,0.9,0.003,0.005,4,0.75,10,660,36,0.05,0.75,0.3,2,40,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,hay
121,hmel,warm_annual,temp_gro,0,90,30,0.55,4,0.15,0.05,0.5,0.95,0.6,1,0.5,1.2,35,16,0.0071,0.001,0.007,0.004,0.002,0.0026,0.002,0.0017,0.25,0.03,0.006,4,0.75,3,660,39,0.05,0,0,0,0,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,honeydew_melon
122,indn,perennial,temp_gro,0,0,34,0.9,3,0.05,0.1,0.25,0.7,0.35,10,1,2,25,12,0.016,0.0022,0.02,0.012,0.005,0.0014,0.001,0.0007,0.9,0.003,0.005,4,0.75,10,660,39,0.05,2,0.3,2,30,0.36,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,indiangrass
123,jhgr,perennial,temp_gro,0,0,35,0.9,2.5,0.15,0.05,0.57,0.95,0.5,1,1,2,30,11,0.02,0.0028,0.044,0.0164,0.0128,0.006,0.0022,0.0018,0.9,0.2,0.005,4,0.75,8.5,660,36,0.05,2,0.3,2,30,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,johnsongrass
124,lbls,perennial,temp_gro,0,0,34,0.9,2.5,0.05,0.1,0.25,0.7,0.35,1,1,2,25,12,0.016,0.0022,0.02,0.012,0.005,0.0014,0.001,0.0007,0.9,0.003,0.005,4,0.75,10,660,39,0.05,2,0.3,2,30,0.36,12,3,0.1,0.4,0.2,22,0.05,40,0.71,0.5,0,0,0,little_bluestem
125,ldgp,perennial,temp_gro,0,0,15,0.76,5,15,0.7,25,0.99,0.99,1,25,3,30,0,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.6,0.001,0.007,-6.5,1,8,660,15,0.05,0.75,0.3,50,100,0.52,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,lodge_pole_pine
126,lent,warm_annual,temp_gro,0.5,85,20,0.61,4,0.15,0.02,0.5,0.95,0.9,0.5,0.55,1.2,20,3,0.0506,0.0051,0.044,0.0164,0.0128,0.0074,0.0037,0.0023,0.01,0.2,0.005,4,0.75,10,660,33,0.05,0,0,0,0,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,lentils
127,lett,cold_annual,temp_gro,0,90,23,0.8,4.2,0.25,0.23,0.4,0.86,1,0.5,0.2,0.6,18,7,0.0393,0.0049,0.036,0.025,0.021,0.0084,0.0032,0.0019,0.01,0.01,0.003,4,0.75,8,660,25,0.05,0,0,0,0,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,head_lettuce
